generated_at,league_key,competition,fixture_id,utcDate_fixture,date_fixture,matchday_fixture,rank,kind,utcDate_prev,matchday_prev,home_prev,away_prev,score_fulltime_prev,target_team,target_side_in_prev,target_pos_then,opponent,opponent_pos_then,target_gfpg_then,target_gapg_then,opponent_gfpg_then,opponent_gapg_then,delta_total,delta_total_val,match_id_prev
2026-02-10 21:06:09,FL1,FL1,542595,2026-02-15T14:00:00Z,2026-02-15,22,1,away,2026-02-08T16:15:00Z,21,Angers SCO,Toulouse FC,1-0,Toulouse FC,AWAY,8,Angers SCO,11,1.550,1.150,1.050,1.250,0.286,0.2857142857142857,542593
2026-02-10 21:06:09,FL1,FL1,542595,2026-02-15T14:00:00Z,2026-02-15,22,2,home,2026-02-08T16:15:00Z,21,Le Havre AC,RC Strasbourg Alsace,2-1,Le Havre AC,HOME,15,RC Strasbourg Alsace,7,0.800,1.250,1.650,1.250,0.350,0.34999999999999976,542586
2026-02-10 21:06:09,FL1,FL1,542595,2026-02-15T14:00:00Z,2026-02-15,22,3,home,2026-01-04T16:15:00Z,17,Le Havre AC,Angers SCO,2-1,Le Havre AC,HOME,15,Angers SCO,10,0.812,1.375,1.062,1.125,0.613,0.613095238095238,542550
2026-02-10 21:06:09,FL1,FL1,542595,2026-02-15T14:00:00Z,2026-02-15,22,4,home,2025-10-05T15:15:00Z,7,Le Havre AC,Stade Rennais FC 1901,2-2,Le Havre AC,HOME,15,Stade Rennais FC 1901,8,1.000,1.333,1.167,1.333,0.738,0.738095238095238,542460
2026-02-10 21:06:09,FL1,FL1,542595,2026-02-15T14:00:00Z,2026-02-15,22,5,home,2026-01-24T18:00:00Z,19,Le Havre AC,AS Monaco FC,0-0,Le Havre AC,HOME,14,AS Monaco FC,9,0.889,1.333,1.556,1.833,0.897,0.8968253968253966,542568
2026-02-10 21:06:09,FL1,FL1,542595,2026-02-15T14:00:00Z,2026-02-15,22,6,away,2026-01-25T16:15:00Z,19,Stade Brestois 29,Toulouse FC,0-2,Toulouse FC,AWAY,8,Stade Brestois 29,10,1.611,1.278,1.333,1.611,1.119,1.119047619047619,542575
2026-02-10 21:06:09,FL1,FL1,542595,2026-02-15T14:00:00Z,2026-02-15,22,7,away,2025-12-13T20:05:00Z,16,Paris FC,Toulouse FC,0-3,Toulouse FC,AWAY,9,Paris FC,14,1.400,1.267,1.400,1.733,1.238,1.2380952380952381,542543
2026-02-10 21:06:09,FL1,FL1,542595,2026-02-15T14:00:00Z,2026-02-15,22,8,away,2025-09-21T15:15:00Z,5,AJ Auxerre,Toulouse FC,1-0,Toulouse FC,AWAY,10,AJ Auxerre,15,1.750,2.000,0.750,1.500,1.500,1.5,542443
2026-02-10 21:06:09,FL1,FL1,542595,2026-02-15T14:00:00Z,2026-02-15,22,9,home,2025-08-31T15:15:00Z,3,Le Havre AC,OGC Nice,3-1,Le Havre AC,HOME,16,OGC Nice,9,1.000,2.500,1.500,1.000,1.571,1.5714285714285712,542424
2026-02-10 21:06:09,FL1,FL1,542595,2026-02-15T14:00:00Z,2026-02-15,22,10,away,2025-11-09T14:00:00Z,12,FC Lorient,Toulouse FC,1-1,Toulouse FC,AWAY,9,FC Lorient,16,1.545,1.364,1.182,2.273,1.649,1.6493506493506493,542507
