generated_at,league_key,competition,fixture_id,utcDate_fixture,date_fixture,matchday_fixture,rank,kind,utcDate_prev,matchday_prev,home_prev,away_prev,score_fulltime_prev,target_team,target_side_in_prev,target_pos_then,opponent,opponent_pos_then,target_gfpg_then,target_gapg_then,opponent_gfpg_then,opponent_gapg_then,delta_total,delta_total_val,match_id_prev
2026-02-15 15:41:35,FL1,FL1,542607,2026-02-22T16:15:00Z,2026-02-22,23,1,away,2026-02-07T18:00:00Z,21,Stade Brestois 29,FC Lorient,2-0,FC Lorient,AWAY,9,Stade Brestois 29,12,1.350,1.550,1.300,1.650,0.256,0.25562770562770587,542594
2026-02-15 15:41:35,FL1,FL1,542607,2026-02-22T16:15:00Z,2026-02-22,23,2,home,2026-02-01T16:15:00Z,20,OGC Nice,Stade Brestois 29,2-2,OGC Nice,HOME,13,Stade Brestois 29,12,1.316,1.895,1.263,1.632,0.302,0.30189109136477543,542581
2026-02-15 15:41:35,FL1,FL1,542607,2026-02-22T16:15:00Z,2026-02-22,23,3,home,2026-02-08T14:00:00Z,21,OGC Nice,AS Monaco FC,0-0,OGC Nice,HOME,13,AS Monaco FC,10,1.350,1.900,1.600,1.650,0.587,0.5865800865800865,542590
2026-02-15 15:41:35,FL1,FL1,542607,2026-02-22T16:15:00Z,2026-02-22,23,4,home,2026-01-03T18:00:00Z,17,OGC Nice,RC Strasbourg Alsace,1-1,OGC Nice,HOME,13,RC Strasbourg Alsace,7,1.188,1.812,1.562,1.250,0.596,0.5955086580086582,542554
2026-02-15 15:41:35,FL1,FL1,542607,2026-02-22T16:15:00Z,2026-02-22,23,5,home,2025-12-07T14:00:00Z,15,OGC Nice,Angers SCO,0-1,OGC Nice,HOME,10,Angers SCO,12,1.357,1.857,0.857,1.214,0.866,0.8658008658008659,542537
2026-02-15 15:41:35,FL1,FL1,542607,2026-02-22T16:15:00Z,2026-02-22,23,6,home,2025-09-28T13:00:00Z,6,OGC Nice,Paris FC,1-1,OGC Nice,HOME,12,Paris FC,11,1.200,1.800,1.800,2.400,1.477,1.4770562770562772,542454
2026-02-15 15:41:35,FL1,FL1,542607,2026-02-22T16:15:00Z,2026-02-22,23,7,away,2025-11-23T16:15:00Z,13,FC Nantes,FC Lorient,1-1,FC Lorient,AWAY,17,FC Nantes,16,1.167,2.167,0.917,1.500,1.497,1.4967532467532465,542515
2026-02-15 15:41:35,FL1,FL1,542607,2026-02-22T16:15:00Z,2026-02-22,23,8,away,2025-09-21T15:15:00Z,5,Le Havre AC,FC Lorient,1-1,FC Lorient,AWAY,16,Le Havre AC,13,1.250,3.000,1.250,1.750,1.663,1.6634199134199135,542442
2026-02-15 15:41:35,FL1,FL1,542607,2026-02-22T16:15:00Z,2026-02-22,23,9,away,2025-10-03T18:45:00Z,7,Paris FC,FC Lorient,2-0,FC Lorient,AWAY,13,Paris FC,11,1.500,2.333,1.667,2.167,1.753,1.7532467532467533,542464
2026-02-15 15:41:35,FL1,FL1,542607,2026-02-22T16:15:00Z,2026-02-22,23,10,away,2025-10-26T16:15:00Z,9,Angers SCO,FC Lorient,2-0,FC Lorient,AWAY,13,Angers SCO,17,1.500,2.375,0.500,1.500,2.152,2.1520562770562774,542484
