generated_at,league_key,competition,fixture_id,utcDate_fixture,date_fixture,matchday_fixture,rank,kind,utcDate_prev,matchday_prev,home_prev,away_prev,score_fulltime_prev,target_team,target_side_in_prev,target_pos_then,opponent,opponent_pos_then,target_gfpg_then,target_gapg_then,opponent_gfpg_then,opponent_gapg_then,delta_total,delta_total_val,match_id_prev
2026-02-15 15:40:42,PD,PD,544455,2026-02-21T15:15:00Z,2026-02-21,25,1,home,2026-02-01T15:15:00Z,22,Real Betis Balompié,Valencia CF,2-1,Real Betis Balompié,HOME,6,Valencia CF,14,1.619,1.286,1.048,1.571,0.480,0.48033126293995865,544422
2026-02-15 15:40:42,PD,PD,544455,2026-02-21T15:15:00Z,2026-02-21,25,2,home,2025-11-02T20:00:00Z,11,Real Betis Balompié,RCD Mallorca,3-0,Real Betis Balompié,HOME,6,RCD Mallorca,16,1.500,1.200,1.100,1.500,0.509,0.5086956521739133,544314
2026-02-15 15:40:42,PD,PD,544455,2026-02-21T15:15:00Z,2026-02-21,25,3,away,2025-12-07T17:30:00Z,15,RCD Espanyol de Barcelona,Rayo Vallecano de Madrid,1-0,Rayo Vallecano de Madrid,AWAY,9,RCD Espanyol de Barcelona,6,0.929,1.071,1.286,1.143,0.646,0.6459627329192549,544354
2026-02-15 15:40:42,PD,PD,544455,2026-02-21T15:15:00Z,2026-02-21,25,4,home,2025-09-19T19:00:00Z,5,Real Betis Balompié,Real Sociedad de Fútbol,3-1,Real Betis Balompié,HOME,11,Real Sociedad de Fútbol,17,1.250,1.250,1.000,1.500,0.674,0.6739130434782609,544253
2026-02-15 15:40:42,PD,PD,544455,2026-02-21T15:15:00Z,2026-02-21,25,5,away,2026-01-18T17:30:00Z,20,RC Celta de Vigo,Rayo Vallecano de Madrid,3-0,Rayo Vallecano de Madrid,AWAY,10,RC Celta de Vigo,7,0.842,1.158,1.316,1.053,0.675,0.6750572082379863,544402
2026-02-15 15:40:42,PD,PD,544455,2026-02-21T15:15:00Z,2026-02-21,25,6,home,2025-09-28T19:00:00Z,7,Real Betis Balompié,CA Osasuna,2-0,Real Betis Balompié,HOME,9,CA Osasuna,13,1.500,1.167,0.833,0.833,0.710,0.7101449275362318,544273
2026-02-15 15:40:42,PD,PD,544455,2026-02-21T15:15:00Z,2026-02-21,25,7,home,2025-11-23T15:15:00Z,13,Real Betis Balompié,Girona FC,1-1,Real Betis Balompié,HOME,5,Girona FC,18,1.583,1.083,0.917,2.000,0.859,0.8586956521739133,544332
2026-02-15 15:40:42,PD,PD,544455,2026-02-21T15:15:00Z,2026-02-21,25,8,away,2025-11-01T13:00:00Z,11,Villarreal CF,Rayo Vallecano de Madrid,4-0,Rayo Vallecano de Madrid,AWAY,7,Villarreal CF,3,1.200,1.000,1.800,1.000,1.000,1.0,544320
2026-02-15 15:40:42,PD,PD,544455,2026-02-21T15:15:00Z,2026-02-21,25,9,away,2026-02-01T13:00:00Z,22,Real Madrid CF,Rayo Vallecano de Madrid,2-1,Rayo Vallecano de Madrid,AWAY,16,Real Madrid CF,2,0.810,1.333,2.143,0.810,1.075,1.074534161490683,544430
2026-02-15 15:40:42,PD,PD,544455,2026-02-21T15:15:00Z,2026-02-21,25,10,away,2025-08-25T17:30:00Z,2,Athletic Club,Rayo Vallecano de Madrid,1-0,Rayo Vallecano de Madrid,AWAY,2,Athletic Club,5,3.000,1.000,3.000,2.000,4.565,4.565217391304348,544221
