generated_at,competition,fixture_id,utcDate_fixture,matchday_fixture,rank,source,kind,utcDate_prev,matchday_prev,home_prev,away_prev,score_fulltime_prev,target_side_in_prev,target_team,target_pos_then,opponent,opponent_pos_then,target_gfpg_then,target_gapg_then,opponent_gfpg_then,opponent_gapg_then,delta_total,delta_total_val,match_id_prev
2026-02-02 02:41:52,PL,538033,2026-02-07T17:30:00Z,25,1,Away Similar,away,2025-11-22T15:00:00Z,12,Brighton & Hove Albion FC,Brentford FC,2-1,FORA,Brentford FC,12,Brighton & Hove Albion FC,11,1.545,1.545,1.545,1.364,0.439,0.43939393939393945,537896
2026-02-02 02:41:52,PL,538033,2026-02-07T17:30:00Z,25,2,Away Similar,away,2025-12-06T15:00:00Z,15,Tottenham Hotspur FC,Brentford FC,2-0,FORA,Brentford FC,13,Tottenham Hotspur FC,11,1.500,1.571,1.643,1.286,0.595,0.5952380952380951,537933
2026-02-02 02:41:52,PL,538033,2026-02-07T17:30:00Z,25,3,Away Similar,away,2026-01-17T15:00:00Z,22,Chelsea FC,Brentford FC,2-0,FORA,Brentford FC,5,Chelsea FC,8,1.667,1.333,1.619,1.143,0.643,0.642857142857143,537998
2026-02-02 02:41:52,PL,538033,2026-02-07T17:30:00Z,25,4,Home Similar,home,2026-01-04T15:00:00Z,20,Newcastle United FC,Crystal Palace FC,2-0,CASA,Newcastle United FC,13,Crystal Palace FC,10,1.368,1.263,1.158,1.105,0.689,0.68859649122807,537982
2026-02-02 02:41:52,PL,538033,2026-02-07T17:30:00Z,25,5,Away Similar,away,2025-11-01T15:00:00Z,10,Crystal Palace FC,Brentford FC,2-0,FORA,Brentford FC,11,Crystal Palace FC,10,1.556,1.556,1.333,1.000,0.694,0.6944444444444446,537877
2026-02-02 02:41:52,PL,538033,2026-02-07T17:30:00Z,25,6,Away Similar,away,2026-01-04T15:00:00Z,20,Everton FC,Brentford FC,2-4,FORA,Brentford FC,9,Everton FC,8,1.474,1.368,1.053,1.053,0.706,0.7061403508771933,537978
2026-02-02 02:41:52,PL,538033,2026-02-07T17:30:00Z,25,7,Home Similar,home,2025-12-20T12:30:00Z,17,Newcastle United FC,Chelsea FC,2-2,CASA,Newcastle United FC,12,Chelsea FC,4,1.312,1.250,1.688,0.938,0.771,0.7708333333333333,537952
2026-02-02 02:41:52,PL,538033,2026-02-07T17:30:00Z,25,8,Away Similar,away,2025-08-30T14:00:00Z,3,Sunderland AFC,Brentford FC,2-1,FORA,Brentford FC,10,Sunderland AFC,7,1.000,1.500,1.500,1.000,1.167,1.1666666666666667,537805
2026-02-02 02:41:52,PL,538033,2026-02-07T17:30:00Z,25,9,Away Similar,away,2025-09-20T19:00:00Z,5,Fulham FC,Brentford FC,3-1,FORA,Brentford FC,12,Fulham FC,11,1.250,1.750,0.750,1.000,1.667,1.6666666666666667,537830
2026-02-02 02:41:52,PL,538033,2026-02-07T17:30:00Z,25,10,Home Similar,home,2025-08-25T19:00:00Z,2,Newcastle United FC,Liverpool FC,2-3,CASA,Newcastle United FC,13,Liverpool FC,4,0.000,0.000,4.000,2.000,5.917,5.916666666666667,537803
