generated_at,competition,fixture_id,utcDate_fixture,matchday_fixture,rank,source,kind,utcDate_prev,matchday_prev,home_prev,away_prev,score_fulltime_prev,target_side_in_prev,target_team,target_pos_then,opponent,opponent_pos_then,target_gfpg_then,target_gapg_then,opponent_gfpg_then,opponent_gapg_then,delta_total,delta_total_val,match_id_prev
2026-02-02 02:41:52,PL,538040,2026-02-10T19:30:00Z,26,1,Away Similar,away,2025-11-29T15:00:00Z,13,Sunderland AFC,AFC Bournemouth,3-2,FORA,AFC Bournemouth,8,Sunderland AFC,7,1.583,1.667,1.167,0.917,0.500,0.5000000000000003,537905
2026-02-02 02:41:52,PL,538040,2026-02-10T19:30:00Z,26,2,Home Similar,home,2026-01-04T15:00:00Z,20,Everton FC,Brentford FC,2-4,CASA,Everton FC,8,Brentford FC,9,1.053,1.053,1.474,1.368,0.719,0.7192982456140353,537978
2026-02-02 02:41:52,PL,538040,2026-02-10T19:30:00Z,26,3,Away Similar,away,2025-11-09T14:00:00Z,11,Aston Villa FC,AFC Bournemouth,4-0,FORA,AFC Bournemouth,5,Aston Villa FC,11,1.700,1.400,0.900,1.000,0.733,0.7333333333333333,537886
2026-02-02 02:41:52,PL,538040,2026-02-10T19:30:00Z,26,4,Away Similar,away,2026-01-19T20:00:00Z,22,Brighton & Hove Albion FC,AFC Bournemouth,1-1,FORA,AFC Bournemouth,15,Brighton & Hove Albion FC,11,1.619,1.905,1.476,1.333,0.762,0.7619047619047619,537997
2026-02-02 02:41:52,PL,538040,2026-02-10T19:30:00Z,26,5,Away Similar,away,2025-12-27T15:00:00Z,18,Brentford FC,AFC Bournemouth,4-1,FORA,AFC Bournemouth,15,Brentford FC,12,1.529,1.706,1.412,1.471,0.897,0.8970588235294124,537958
2026-02-02 02:41:52,PL,538040,2026-02-10T19:30:00Z,26,6,Home Similar,home,2025-11-08T15:00:00Z,11,Everton FC,Fulham FC,2-0,CASA,Everton FC,14,Fulham FC,15,1.000,1.300,1.200,1.400,1.117,1.116666666666667,537890
2026-02-02 02:41:52,PL,538040,2026-02-10T19:30:00Z,26,7,Home Similar,home,2025-11-29T17:30:00Z,13,Everton FC,Newcastle United FC,1-4,CASA,Everton FC,11,Newcastle United FC,14,1.083,1.083,1.083,1.250,1.167,1.166666666666667,537910
2026-02-02 02:41:52,PL,538040,2026-02-10T19:30:00Z,26,8,Away Similar,away,2025-10-18T14:00:00Z,8,Crystal Palace FC,AFC Bournemouth,3-3,FORA,AFC Bournemouth,4,Crystal Palace FC,6,1.571,1.143,1.286,0.714,1.357,1.3571428571428577,537857
2026-02-02 02:41:52,PL,538040,2026-02-10T19:30:00Z,26,9,Away Similar,away,2025-12-15T20:00:00Z,16,Manchester United FC,AFC Bournemouth,4-4,FORA,AFC Bournemouth,13,Manchester United FC,6,1.400,1.600,1.733,1.467,1.450,1.4500000000000002,537942
2026-02-02 02:41:52,PL,538040,2026-02-10T19:30:00Z,26,10,Away Similar,away,2025-09-27T14:00:00Z,6,Leeds United FC,AFC Bournemouth,2-2,FORA,AFC Bournemouth,4,Leeds United FC,12,1.200,1.000,0.800,1.400,1.817,1.8166666666666667,537840
