generated_at,competition,fixture_id,utcDate_fixture,matchday_fixture,rank,source,kind,utcDate_prev,matchday_prev,home_prev,away_prev,score_fulltime_prev,target_side_in_prev,target_team,target_pos_then,opponent,opponent_pos_then,target_gfpg_then,target_gapg_then,opponent_gfpg_then,opponent_gapg_then,delta_total,delta_total_val,match_id_prev
2026-02-02 02:41:52,PL,538043,2026-02-10T19:30:00Z,26,1,Home Similar,home,2025-12-20T17:30:00Z,17,Tottenham Hotspur FC,Liverpool FC,1-2,CASA,Tottenham Hotspur FC,11,Liverpool FC,7,1.562,1.312,1.625,1.500,0.542,0.5416666666666667,537953
2026-02-02 02:41:52,PL,538043,2026-02-10T19:30:00Z,26,2,Home Similar,home,2025-12-06T15:00:00Z,15,Tottenham Hotspur FC,Brentford FC,2-0,CASA,Tottenham Hotspur FC,11,Brentford FC,13,1.643,1.286,1.500,1.571,0.595,0.5952380952380951,537933
2026-02-02 02:41:52,PL,538043,2026-02-10T19:30:00Z,26,3,Away Similar,away,2025-11-09T14:00:00Z,11,Brentford FC,Newcastle United FC,3-1,FORA,Newcastle United FC,13,Brentford FC,12,1.000,1.100,1.400,1.600,0.933,0.9333333333333333,537888
2026-02-02 02:41:52,PL,538043,2026-02-10T19:30:00Z,26,4,Home Similar,home,2026-01-04T15:00:00Z,20,Tottenham Hotspur FC,Sunderland AFC,1-1,CASA,Tottenham Hotspur FC,12,Sunderland AFC,7,1.421,1.211,1.053,0.947,0.952,0.9517543859649124,537983
2026-02-02 02:41:52,PL,538043,2026-02-10T19:30:00Z,26,5,Away Similar,away,2025-11-29T17:30:00Z,13,Everton FC,Newcastle United FC,1-4,FORA,Newcastle United FC,14,Everton FC,11,1.083,1.250,1.083,1.083,1.083,1.0833333333333335,537910
2026-02-02 02:41:52,PL,538043,2026-02-10T19:30:00Z,26,6,Away Similar,away,2025-10-18T14:00:00Z,8,Brighton & Hove Albion FC,Newcastle United FC,2-1,FORA,Newcastle United FC,11,Brighton & Hove Albion FC,12,0.857,0.714,1.429,1.429,1.262,1.2619047619047619,537856
2026-02-02 02:41:52,PL,538043,2026-02-10T19:30:00Z,26,7,Home Similar,home,2025-11-08T12:30:00Z,11,Tottenham Hotspur FC,Manchester United FC,2-2,CASA,Tottenham Hotspur FC,6,Manchester United FC,8,1.700,0.800,1.700,1.600,1.367,1.3666666666666667,537893
2026-02-02 02:41:52,PL,538043,2026-02-10T19:30:00Z,26,8,Home Similar,home,2025-11-01T17:30:00Z,10,Tottenham Hotspur FC,Chelsea FC,0-1,CASA,Tottenham Hotspur FC,3,Chelsea FC,9,1.889,0.778,1.889,1.222,1.694,1.6944444444444442,537883
2026-02-02 02:41:52,PL,538043,2026-02-10T19:30:00Z,26,9,Home Similar,home,2025-10-19T13:00:00Z,8,Tottenham Hotspur FC,Aston Villa FC,1-2,CASA,Tottenham Hotspur FC,3,Aston Villa FC,13,1.857,0.714,0.857,1.000,1.952,1.9523809523809526,537863
2026-02-02 02:41:52,PL,538043,2026-02-10T19:30:00Z,26,10,Away Similar,away,2025-08-30T16:30:00Z,3,Leeds United FC,Newcastle United FC,0-0,FORA,Newcastle United FC,15,Leeds United FC,12,1.000,1.500,0.500,2.500,2.583,2.583333333333333,537810
2026-02-02 02:41:52,PL,538043,2026-02-10T19:30:00Z,26,11,Home Similar,home,2025-08-30T14:00:00Z,3,Tottenham Hotspur FC,AFC Bournemouth,0-1,CASA,Tottenham Hotspur FC,2,AFC Bournemouth,9,2.500,0.000,1.500,2.000,3.167,3.166666666666667,537813
