generated_at,league_key,competition,fixture_id,utcDate_fixture,date_fixture,matchday_fixture,rank,kind,utcDate_prev,matchday_prev,home_prev,away_prev,score_fulltime_prev,target_team,target_side_in_prev,target_pos_then,opponent,opponent_pos_then,target_gfpg_then,target_gapg_then,opponent_gfpg_then,opponent_gapg_then,delta_total,delta_total_val,match_id_prev
2026-02-15 15:40:35,PL,PL,538046,2026-02-21T15:00:00Z,2026-02-21,27,1,away,2025-12-28T14:00:00Z,18,Sunderland AFC,Leeds United FC,1-1,Leeds United FC,AWAY,16,Sunderland AFC,6,1.412,1.824,1.118,1.000,0.464,0.4638009049773757,537955
2026-02-15 15:40:35,PL,PL,538046,2026-02-21T15:00:00Z,2026-02-21,27,2,home,2026-02-11T19:30:00Z,26,Aston Villa FC,Brighton & Hove Albion FC,1-0,Aston Villa FC,HOME,3,Brighton & Hove Albion FC,14,1.440,1.080,1.360,1.320,0.494,0.4938461538461536,538036
2026-02-15 15:40:35,PL,PL,538046,2026-02-21T15:00:00Z,2026-02-21,27,3,away,2026-02-10T19:30:00Z,26,Chelsea FC,Leeds United FC,2-2,Leeds United FC,AWAY,16,Chelsea FC,5,1.360,1.720,1.800,1.120,0.494,0.4938461538461538,538039
2026-02-15 15:40:35,PL,PL,538046,2026-02-21T15:00:00Z,2026-02-21,27,4,away,2026-01-01T17:30:00Z,19,Liverpool FC,Leeds United FC,0-0,Leeds United FC,AWAY,16,Liverpool FC,4,1.389,1.778,1.667,1.444,0.701,0.7008547008547006,537971
2026-02-15 15:40:35,PL,PL,538046,2026-02-21T15:00:00Z,2026-02-21,27,5,home,2026-01-03T12:30:00Z,20,Aston Villa FC,Nottingham Forest FC,3-1,Aston Villa FC,HOME,3,Nottingham Forest FC,17,1.579,1.211,0.947,1.579,0.917,0.9170040485829959,537976
2026-02-15 15:40:35,PL,PL,538046,2026-02-21T15:00:00Z,2026-02-21,27,6,home,2026-01-18T16:30:00Z,22,Aston Villa FC,Everton FC,0-1,Aston Villa FC,HOME,3,Everton FC,12,1.571,1.143,1.095,1.190,1.082,1.0824175824175821,537996
2026-02-15 15:40:35,PL,PL,538046,2026-02-21T15:00:00Z,2026-02-21,27,7,away,2025-11-29T15:00:00Z,13,Manchester City FC,Leeds United FC,3-2,Leeds United FC,AWAY,18,Manchester City FC,3,0.917,1.833,2.000,0.833,1.353,1.3525641025641026,537911
2026-02-15 15:40:35,PL,PL,538046,2026-02-21T15:00:00Z,2026-02-21,27,8,home,2025-10-05T13:00:00Z,7,Aston Villa FC,Burnley FC,2-1,Aston Villa FC,HOME,16,Burnley FC,18,0.667,1.000,1.000,2.167,1.615,1.6153846153846154,537846
2026-02-15 15:40:35,PL,PL,538046,2026-02-21T15:00:00Z,2026-02-21,27,9,away,2025-08-23T16:30:00Z,2,Arsenal FC,Leeds United FC,5-0,Leeds United FC,AWAY,7,Arsenal FC,6,1.000,0.000,1.000,0.000,3.577,3.5769230769230766,537797
2026-02-15 15:40:35,PL,PL,538046,2026-02-21T15:00:00Z,2026-02-21,27,10,home,2025-08-31T18:00:00Z,3,Aston Villa FC,Crystal Palace FC,0-3,Aston Villa FC,HOME,17,Crystal Palace FC,14,0.000,0.500,0.500,0.500,4.077,4.076923076923077,537806
