generated_at,competition,fixture_id,utcDate_fixture,matchday_fixture,rank,source,kind,utcDate_prev,matchday_prev,home_prev,away_prev,score_fulltime_prev,target_side_in_prev,target_team,target_pos_then,opponent,opponent_pos_then,target_gfpg_then,target_gapg_then,opponent_gfpg_then,opponent_gapg_then,delta_total,delta_total_val,match_id_prev
2026-02-02 02:43:48,SA,537048,2026-02-09T17:30:00Z,24,1,Home Similar,home,2025-11-09T11:30:00Z,11,Atalanta BC,US Sassuolo Calcio,0-3,CASA,Atalanta BC,11,US Sassuolo Calcio,12,1.300,0.800,1.100,1.200,0.452,0.4521739130434783,536916
2026-02-02 02:43:48,SA,537048,2026-02-09T17:30:00Z,24,2,Away Similar,away,2026-01-12T19:45:00Z,20,Juventus FC,US Cremonese,5-0,FORA,US Cremonese,13,Juventus FC,4,1.053,1.211,1.421,0.842,0.465,0.46453089244851253,537012
2026-02-02 02:43:48,SA,537048,2026-02-09T17:30:00Z,24,3,Home Similar,home,2025-12-13T19:45:00Z,15,Atalanta BC,Cagliari Calcio,2-1,CASA,Atalanta BC,12,Cagliari Calcio,13,1.214,1.214,1.000,1.357,0.575,0.5745341614906834,536958
2026-02-02 02:43:48,SA,537048,2026-02-09T17:30:00Z,24,4,Home Similar,home,2026-01-25T14:00:00Z,22,Atalanta BC,Parma Calcio 1913,4-0,CASA,Atalanta BC,7,Parma Calcio 1913,13,1.238,0.952,0.667,1.048,0.652,0.6521739130434782,537027
2026-02-02 02:43:48,SA,537048,2026-02-09T17:30:00Z,24,5,Home Similar,home,2026-01-10T19:45:00Z,20,Atalanta BC,Torino FC,2-0,CASA,Atalanta BC,8,Torino FC,12,1.211,1.000,1.105,1.579,0.691,0.6910755148741421,537007
2026-02-02 02:43:48,SA,537048,2026-02-09T17:30:00Z,24,6,Away Similar,away,2025-12-20T17:00:00Z,16,SS Lazio,US Cremonese,0-0,FORA,US Cremonese,11,SS Lazio,8,1.200,1.200,1.133,0.733,0.786,0.7855072463768117,536972
2026-02-02 02:43:48,SA,537048,2026-02-09T17:30:00Z,24,7,Away Similar,away,2025-12-01T19:45:00Z,13,Bologna FC 1909,US Cremonese,1-3,FORA,US Cremonese,11,Bologna FC 1909,5,1.083,1.333,1.750,0.667,0.877,0.8768115942028986,536940
2026-02-02 02:43:48,SA,537048,2026-02-09T17:30:00Z,24,8,Away Similar,away,2025-09-27T13:00:00Z,5,Como 1907,US Cremonese,1-1,FORA,US Cremonese,6,Como 1907,8,1.250,0.750,1.250,0.750,1.152,1.152173913043478,536859
2026-02-02 02:43:48,SA,537048,2026-02-09T17:30:00Z,24,9,Home Similar,home,2025-10-19T16:00:00Z,7,Atalanta BC,SS Lazio,0-0,CASA,Atalanta BC,6,SS Lazio,13,1.833,0.833,1.667,1.167,1.543,1.543478260869565,536877
2026-02-02 02:43:48,SA,537048,2026-02-09T17:30:00Z,24,10,Home Similar,home,2025-09-14T13:00:00Z,3,Atalanta BC,US Lecce,4-1,CASA,Atalanta BC,11,US Lecce,17,1.000,1.000,0.000,1.000,1.652,1.6521739130434783,536838
2026-02-02 02:43:48,SA,537048,2026-02-09T17:30:00Z,24,11,Away Similar,away,2025-10-04T16:00:00Z,6,FC Internazionale Milano,US Cremonese,4-1,FORA,US Cremonese,7,FC Internazionale Milano,5,1.200,0.800,2.600,1.400,2.704,2.7043478260869565,536869
