generated_at,league_key,competition,fixture_id,utcDate_fixture,date_fixture,matchday_fixture,rank,kind,utcDate_prev,matchday_prev,home_prev,away_prev,score_fulltime_prev,target_team,target_side_in_prev,target_pos_then,opponent,opponent_pos_then,target_gfpg_then,target_gapg_then,opponent_gfpg_then,opponent_gapg_then,delta_total,delta_total_val,match_id_prev
2026-02-04 03:16:36,SA,SA,537054,2026-02-08T14:00:00Z,2026-02-08,24,1,away,2025-11-29T14:00:00Z,13,Parma Calcio 1913,Udinese Calcio,0-2,Udinese Calcio,AWAY,10,Parma Calcio 1913,15,1.000,1.667,0.750,1.250,0.558,0.5579710144927538,536942
2026-02-04 03:16:36,SA,SA,537054,2026-02-08T14:00:00Z,2026-02-08,24,2,home,2025-11-30T11:30:00Z,13,US Lecce,Torino FC,2-1,US Lecce,HOME,17,Torino FC,12,0.667,1.333,0.917,1.750,0.616,0.6159420289855072,536944
2026-02-04 03:16:36,SA,SA,537054,2026-02-08T14:00:00Z,2026-02-08,24,3,away,2026-01-26T19:45:00Z,22,Hellas Verona FC,Udinese Calcio,1-3,Udinese Calcio,AWAY,10,Hellas Verona FC,20,1.048,1.571,0.810,1.619,0.735,0.7349896480331263,537030
2026-02-04 03:16:36,SA,SA,537054,2026-02-08T14:00:00Z,2026-02-08,24,4,away,2025-12-21T17:00:00Z,16,ACF Fiorentina,Udinese Calcio,5-1,Udinese Calcio,AWAY,10,ACF Fiorentina,20,1.067,1.467,0.800,1.733,0.739,0.7391304347826088,536965
2026-02-04 03:16:36,SA,SA,537054,2026-02-08T14:00:00Z,2026-02-08,24,5,home,2026-01-24T19:45:00Z,22,US Lecce,SS Lazio,0-0,US Lecce,HOME,18,SS Lazio,9,0.619,1.381,1.000,0.905,0.834,0.8343685300207038,537034
2026-02-04 03:16:36,SA,SA,537054,2026-02-08T14:00:00Z,2026-02-08,24,6,home,2025-12-27T14:00:00Z,17,US Lecce,Como 1907,0-3,US Lecce,HOME,14,Como 1907,7,0.688,1.250,1.250,0.938,0.837,0.8369565217391305,536984
2026-02-04 03:16:36,SA,SA,537054,2026-02-08T14:00:00Z,2026-02-08,24,7,home,2025-10-18T13:00:00Z,7,US Lecce,US Sassuolo Calcio,0-0,US Lecce,HOME,15,US Sassuolo Calcio,9,0.833,1.667,1.333,1.333,0.978,0.9782608695652175,536884
2026-02-04 03:16:36,SA,SA,537054,2026-02-08T14:00:00Z,2026-02-08,24,8,away,2025-09-28T10:30:00Z,5,US Sassuolo Calcio,Udinese Calcio,3-1,Udinese Calcio,AWAY,9,US Sassuolo Calcio,14,1.000,1.250,1.000,1.750,1.239,1.2391304347826084,536863
2026-02-04 03:16:36,SA,SA,537054,2026-02-08T14:00:00Z,2026-02-08,24,9,home,2025-09-19T18:45:00Z,4,US Lecce,Cagliari Calcio,1-2,US Lecce,HOME,20,Cagliari Calcio,8,0.333,2.000,1.000,0.667,1.870,1.8695652173913042,536854
2026-02-04 03:16:36,SA,SA,537054,2026-02-08T14:00:00Z,2026-02-08,24,10,home,2025-09-28T16:00:00Z,5,US Lecce,Bologna FC 1909,2-2,US Lecce,HOME,20,Bologna FC 1909,11,0.500,2.000,0.750,0.750,1.870,1.8695652173913042,536864
