api_name,api_canon,best_fd_name,best_fd_canon,score,accepted
1. FC Köln,1 köln,,,0.0,False
1. FC Union Berlin,1 union berlin,Union Berlin,union berlin,0.9786,True
Bayer 04 Leverkusen,bayer 04 leverkusen,Leverkusen,leverkusen,0.9289,True
Borussia Mönchengladbach,borussia mönchengladbach,,,0.0,False
Eintracht Frankfurt,eintracht frankfurt,Ein Frankfurt,ein frankfurt,0.4333,False
FC St. Pauli 1910,st pauli 1910,St Pauli,st pauli,0.9423,True
RB Leipzig,rb leipzig,RB Leipzig,rb leipzig,1.0,True
SC Freiburg,freiburg,Freiburg,freiburg,1.0,True
TSG 1899 Hoffenheim,tsg 1899 hoffenheim,Hoffenheim,hoffenheim,0.9289,True
VfB Stuttgart,vfb stuttgart,Stuttgart,stuttgart,0.9538,True
