api_name,api_canon,best_fd_name,best_fd_canon,score,risk
1. FC Heidenheim 1846,1 heidenheim 1846,Heidenheim,heidenheim,0.9588,ok
1. FC Köln,1 koln,FC Koln,koln,0.9667,ok
1. FSV Mainz 05,1 fsv mainz 05,Mainz,mainz,0.9357,ok
Bayer 04 Leverkusen,bayer 04 leverkusen,Leverkusen,leverkusen,0.9526,ok
Borussia Dortmund,borussia dortmund,Dortmund,dortmund,0.9471,ok
FC Augsburg,augsburg,Augsburg,augsburg,1.0,ok
Hamburger SV,hamburger sv,Hamburg,hamburg,0.9583,ok
RB Leipzig,rb leipzig,RB Leipzig,rb leipzig,1.0,ok
VfB Stuttgart,vfb stuttgart,Stuttgart,stuttgart,0.9692,ok
VfL Wolfsburg,vfl wolfsburg,Wolfsburg,wolfsburg,0.9692,ok
