api_name,api_canon,best_fd_name,best_fd_canon,score,risk
1. FC Köln,1 koln,FC Koln,koln,0.9667,ok
1. FC Union Berlin,1 union berlin,Union Berlin,union berlin,0.9857,ok
Bayer 04 Leverkusen,bayer 04 leverkusen,Leverkusen,leverkusen,0.9526,ok
Borussia Dortmund,borussia dortmund,Dortmund,dortmund,0.9471,ok
Borussia Mönchengladbach,borussia monchengladbach,M'gladbach,m gladbach,0.5294,low_score
Eintracht Frankfurt,eintracht frankfurt,Ein Frankfurt,ein frankfurt,0.8125,ok
RB Leipzig,rb leipzig,RB Leipzig,rb leipzig,1.0,ok
SC Freiburg,freiburg,Freiburg,freiburg,1.0,ok
VfB Stuttgart,vfb stuttgart,Stuttgart,stuttgart,0.9692,ok
VfL Wolfsburg,vfl wolfsburg,Wolfsburg,wolfsburg,0.9692,ok
