api_name,api_canon,best_fd_name,best_fd_canon,score,accepted
AJ Auxerre,aj auxerre,Auxerre,auxerre,0.955,True
AS Monaco FC,as monaco,Monaco,monaco,0.95,True
FC Lorient,lorient,Lorient,lorient,1.0,True
FC Metz,metz,Metz,metz,1.0,True
FC Nantes,nantes,Nantes,nantes,1.0,True
Lille OSC,lille osc,Lille,lille,0.9333,True
Olympique Lyonnais,olympique lyonnais,Lyon,lyon,0.8833,True
Racing Club de Lens,racing lens,Lens,lens,0.9045,True
Stade Brestois 29,stade brestois 29,Brest,brest,0.8941,True
Stade Rennais FC 1901,stade rennais 1901,,,0.0,False
