api_name,api_canon,best_fd_name,best_fd_canon,score,accepted,risk
AJ Auxerre,aj auxerre,Auxerre,auxerre,0.97,True,ok
AS Monaco FC,as monaco,Monaco,monaco,0.9667,True,ok
FC Lorient,lorient,Lorient,lorient,1.0,True,ok
FC Metz,metz,Metz,metz,1.0,True,ok
FC Nantes,nantes,Nantes,nantes,1.0,True,ok
Lille OSC,lille osc,Lille,lille,0.9556,True,ok
Olympique Lyonnais,olympique lyonnais,Lyon,lyon,0.9222,True,ok
Racing Club de Lens,racing lens,Lens,lens,0.9364,True,ok
Stade Brestois 29,stade brestois 29,Brest,brest,0.9294,True,ok
Stade Rennais FC 1901,stade rennais 1901,Rennes,rennes,0.4167,True,low_score
