api_name,api_canon,best_fd_name,best_fd_canon,score,risk
AS Monaco FC,as monaco,Monaco,monaco,0.9667,ok
Angers SCO,angers sco,Angers,angers,0.96,ok
FC Lorient,lorient,Lorient,lorient,1.0,ok
FC Metz,metz,Metz,metz,1.0,ok
FC Nantes,nantes,Nantes,nantes,1.0,ok
Le Havre AC,le havre,Le Havre,le havre,1.0,ok
OGC Nice,ogc nice,Nice,nice,0.95,ok
Olympique Lyonnais,olympique lyonnais,Lyon,lyon,0.9222,ok
Paris FC,paris,Paris FC,paris,1.0,ok
Stade Brestois 29,stade brestois 29,Brest,brest,0.9294,ok
Toulouse FC,toulouse,Toulouse,toulouse,1.0,ok
