api_name,api_canon,best_fd_name,best_fd_canon,score,risk
AJ Auxerre,aj auxerre,Auxerre,auxerre,0.97,ok
AS Monaco FC,as monaco,Monaco,monaco,0.9667,ok
Angers SCO,angers sco,Angers,angers,0.96,ok
FC Lorient,lorient,Lorient,lorient,1.0,ok
Le Havre AC,le havre,Le Havre,le havre,1.0,ok
OGC Nice,ogc nice,Nice,nice,0.95,ok
Paris FC,paris,Paris FC,paris,1.0,ok
RC Strasbourg Alsace,rc strasbourg alsace,Strasbourg,strasbourg,0.95,ok
Stade Brestois 29,stade brestois 29,Brest,brest,0.9294,ok
Stade Rennais FC 1901,stade rennais 1901,Rennes,rennes,0.4167,low_score
Toulouse FC,toulouse,Toulouse,toulouse,1.0,ok
