api_name,api_canon,best_fd_name,best_fd_canon,score,risk
AJ Auxerre,aj auxerre,Auxerre,auxerre,0.97,ok
AS Monaco FC,as monaco,Monaco,monaco,0.9667,ok
FC Metz,metz,Metz,metz,1.0,ok
FC Nantes,nantes,Nantes,nantes,1.0,ok
Le Havre AC,le havre,Le Havre,le havre,1.0,ok
Lille OSC,lille osc,Lille,lille,0.9556,ok
Olympique Lyonnais,olympique lyonnais,Lyon,lyon,0.9222,ok
Olympique de Marseille,olympique marseille,Marseille,marseille,0.9474,ok
Racing Club de Lens,racing lens,Lens,lens,0.9364,ok
Stade Rennais FC 1901,stade rennais 1901,Rennes,rennes,0.4167,low_score
