generated_at,league_key,competition,fixture_id,utcDate_fixture,date_fixture,matchday_fixture,rank,kind,utcDate_prev,matchday_prev,home_prev,away_prev,score_fulltime_prev,target_team,target_side_in_prev,target_pos_then,opponent,opponent_pos_then,target_gfpg_then,target_gapg_then,opponent_gfpg_then,opponent_gapg_then,delta_total,delta_total_val,match_id_prev,fd_source_file,fd_schema_hint,date_prev,mapped_home,mapped_away,teammap_home_score,teammap_away_score,teammap_home_risk,teammap_away_risk,fd_found,fd_FTHG,fd_FTAG,fd_FTR,fd_HTHG,fd_HTAG,fd_HTR,fd_HS,fd_AS,fd_HST,fd_AST,fd_HF,fd_AF,fd_HC,fd_AC,fd_HY,fd_AY,fd_HR,fd_AR
2026-02-15 15:41:35,FL1,FL1,542607,2026-02-22T16:15:00Z,2026-02-22,23,1,away,2026-02-07T18:00:00Z,21,Stade Brestois 29,FC Lorient,2-0,FC Lorient,AWAY,9,Stade Brestois 29,12,1.35,1.55,1.3,1.65,0.256,0.2556277056277058,542594,F1.csv,data.co.uk classic (HomeTeam/AwayTeam),2026-02-07,brest,lorient,0.9294,1.0,ok,ok,True,2,0,H,0,0,D,11,13,5,2,11,10,7,7,2,0,0,0
2026-02-15 15:41:35,FL1,FL1,542607,2026-02-22T16:15:00Z,2026-02-22,23,2,home,2026-02-01T16:15:00Z,20,OGC Nice,Stade Brestois 29,2-2,OGC Nice,HOME,13,Stade Brestois 29,12,1.316,1.895,1.263,1.632,0.302,0.3018910913647754,542581,F1.csv,data.co.uk classic (HomeTeam/AwayTeam),2026-02-01,nice,brest,0.95,0.9294,ok,ok,True,2,2,D,0,2,A,15,12,7,2,15,21,6,5,5,3,0,0
2026-02-15 15:41:35,FL1,FL1,542607,2026-02-22T16:15:00Z,2026-02-22,23,3,home,2026-02-08T14:00:00Z,21,OGC Nice,AS Monaco FC,0-0,OGC Nice,HOME,13,AS Monaco FC,10,1.35,1.9,1.6,1.65,0.587,0.5865800865800865,542590,F1.csv,data.co.uk classic (HomeTeam/AwayTeam),2026-02-08,nice,monaco,0.95,0.9667,ok,ok,True,0,0,D,0,0,D,13,10,3,2,10,11,8,6,2,2,0,0
2026-02-15 15:41:35,FL1,FL1,542607,2026-02-22T16:15:00Z,2026-02-22,23,4,home,2026-01-03T18:00:00Z,17,OGC Nice,RC Strasbourg Alsace,1-1,OGC Nice,HOME,13,RC Strasbourg Alsace,7,1.188,1.812,1.562,1.25,0.596,0.5955086580086582,542554,F1.csv,data.co.uk classic (HomeTeam/AwayTeam),2026-01-03,nice,strasbourg,0.95,0.95,ok,ok,True,1,1,D,0,1,A,19,8,6,5,12,12,5,7,1,2,0,0
2026-02-15 15:41:35,FL1,FL1,542607,2026-02-22T16:15:00Z,2026-02-22,23,5,home,2025-12-07T14:00:00Z,15,OGC Nice,Angers SCO,0-1,OGC Nice,HOME,10,Angers SCO,12,1.357,1.857,0.857,1.214,0.866,0.8658008658008659,542537,F1.csv,data.co.uk classic (HomeTeam/AwayTeam),2025-12-07,nice,angers,0.95,0.96,ok,ok,True,0,1,A,0,1,A,13,8,3,4,11,9,4,1,1,1,1,0
2026-02-15 15:41:35,FL1,FL1,542607,2026-02-22T16:15:00Z,2026-02-22,23,6,home,2025-09-28T13:00:00Z,6,OGC Nice,Paris FC,1-1,OGC Nice,HOME,12,Paris FC,11,1.2,1.8,1.8,2.4,1.477,1.4770562770562772,542454,F1.csv,data.co.uk classic (HomeTeam/AwayTeam),2025-09-28,nice,paris,0.95,1.0,ok,ok,True,1,1,D,1,0,H,11,13,5,3,14,14,5,5,1,1,0,0
2026-02-15 15:41:35,FL1,FL1,542607,2026-02-22T16:15:00Z,2026-02-22,23,7,away,2025-11-23T16:15:00Z,13,FC Nantes,FC Lorient,1-1,FC Lorient,AWAY,17,FC Nantes,16,1.167,2.167,0.917,1.5,1.497,1.4967532467532465,542515,F1.csv,data.co.uk classic (HomeTeam/AwayTeam),2025-11-23,nantes,lorient,1.0,1.0,ok,ok,True,1,1,D,0,1,A,9,7,1,1,17,17,1,1,1,1,0,0
2026-02-15 15:41:35,FL1,FL1,542607,2026-02-22T16:15:00Z,2026-02-22,23,8,away,2025-09-21T15:15:00Z,5,Le Havre AC,FC Lorient,1-1,FC Lorient,AWAY,16,Le Havre AC,13,1.25,3.0,1.25,1.75,1.663,1.6634199134199137,542442,F1.csv,data.co.uk classic (HomeTeam/AwayTeam),2025-09-21,le havre,lorient,1.0,1.0,ok,ok,True,1,1,D,0,1,A,13,8,2,4,20,15,6,2,3,6,0,0
2026-02-15 15:41:35,FL1,FL1,542607,2026-02-22T16:15:00Z,2026-02-22,23,9,away,2025-10-03T18:45:00Z,7,Paris FC,FC Lorient,2-0,FC Lorient,AWAY,13,Paris FC,11,1.5,2.333,1.667,2.167,1.753,1.7532467532467533,542464,F1.csv,data.co.uk classic (HomeTeam/AwayTeam),2025-10-03,paris,lorient,1.0,1.0,ok,ok,True,2,0,H,2,0,H,10,8,2,3,19,10,1,5,0,2,0,0
2026-02-15 15:41:35,FL1,FL1,542607,2026-02-22T16:15:00Z,2026-02-22,23,10,away,2025-10-26T16:15:00Z,9,Angers SCO,FC Lorient,2-0,FC Lorient,AWAY,13,Angers SCO,17,1.5,2.375,0.5,1.5,2.152,2.152056277056277,542484,F1.csv,data.co.uk classic (HomeTeam/AwayTeam),2025-10-26,angers,lorient,0.96,1.0,ok,ok,True,2,0,H,1,0,H,7,23,4,4,14,6,1,6,1,0,0,0
