api_name,api_canon,best_fd_name,best_fd_canon,score,accepted
CA Osasuna,ca osasuna,Osasuna,osasuna,0.955,True
Club Atlético de Madrid,atlético madrid,Ath Madrid,ath madrid,0.4333,False
FC Barcelona,barcelona,Barcelona,barcelona,1.0,True
Girona FC,girona,Girona,girona,1.0,True
RC Celta de Vigo,rc celta vigo,Celta,celta,0.9077,True
RCD Espanyol de Barcelona,rcd espanyol barcelona,Barcelona,barcelona,0.9114,True
RCD Mallorca,rcd mallorca,Mallorca,mallorca,0.95,True
Real Betis Balompié,real betis balompié,Betis,betis,0.8895,True
Real Sociedad de Fútbol,real sociedad fútbol,Sociedad,sociedad,0.91,True
Valencia CF,valencia,Valencia,valencia,1.0,True
