api_name,api_canon,best_fd_name,best_fd_canon,score,accepted,risk
Athletic Club,athletic,Valencia,valencia,0.5,True,low_score
Getafe CF,getafe,Getafe,getafe,1.0,True,ok
Girona FC,girona,Girona,girona,1.0,True,ok
Levante UD,levante ud,Levante,levante,0.97,True,ok
RCD Espanyol de Barcelona,rcd espanyol barcelona,Barcelona,barcelona,0.9409,True,ok
Real Betis Balompié,real betis balompie,Betis,betis,0.9263,True,ok
Real Madrid CF,real madrid,Real Madrid,real madrid,1.0,True,ok
Real Oviedo,real oviedo,Oviedo,oviedo,0.9545,True,ok
Real Sociedad de Fútbol,real sociedad futbol,Sociedad,sociedad,0.94,True,ok
Valencia CF,valencia,Valencia,valencia,1.0,True,ok
Villarreal CF,villarreal,Villarreal,villarreal,1.0,True,ok
