api_name,api_canon,best_fd_name,best_fd_canon,score,risk
Athletic Club,athletic,Valencia,valencia,0.5,low_score
Getafe CF,getafe,Getafe,getafe,1.0,ok
Girona FC,girona,Girona,girona,1.0,ok
Levante UD,levante ud,Levante,levante,0.97,ok
RCD Espanyol de Barcelona,rcd espanyol barcelona,Barcelona,barcelona,0.9409,ok
Real Betis Balompié,real betis balompie,Betis,betis,0.9263,ok
Real Madrid CF,real madrid,Real Madrid,real madrid,1.0,ok
Real Oviedo,real oviedo,Oviedo,oviedo,0.9545,ok
Real Sociedad de Fútbol,real sociedad futbol,Sociedad,sociedad,0.94,ok
Valencia CF,valencia,Valencia,valencia,1.0,ok
Villarreal CF,villarreal,Villarreal,villarreal,1.0,ok
