api_name,api_canon,best_fd_name,best_fd_canon,score,risk
Club Atlético de Madrid,atletico madrid,Ath Madrid,ath madrid,0.72,ok
FC Barcelona,barcelona,Barcelona,barcelona,1.0,ok
Girona FC,girona,Girona,girona,1.0,ok
Levante UD,levante ud,Levante,levante,0.97,ok
RC Celta de Vigo,rc celta vigo,Celta,celta,0.9385,ok
RCD Mallorca,rcd mallorca,Mallorca,mallorca,0.9667,ok
Rayo Vallecano de Madrid,rayo vallecano madrid,Vallecano,vallecano,0.9429,ok
Real Betis Balompié,real betis balompie,Betis,betis,0.9263,ok
Real Madrid CF,real madrid,Real Madrid,real madrid,1.0,ok
Real Sociedad de Fútbol,real sociedad futbol,Sociedad,sociedad,0.94,ok
