api_name,api_canon,best_fd_name,best_fd_canon,score,risk
Athletic Club,athletic,Valencia,valencia,0.5,low_score
Club Atlético de Madrid,atletico madrid,Ath Madrid,ath madrid,0.72,ok
Girona FC,girona,Girona,girona,1.0,ok
RC Celta de Vigo,rc celta vigo,Celta,celta,0.9385,ok
RCD Espanyol de Barcelona,rcd espanyol barcelona,Barcelona,barcelona,0.9409,ok
RCD Mallorca,rcd mallorca,Mallorca,mallorca,0.9667,ok
Real Betis Balompié,real betis balompie,Betis,betis,0.9263,ok
Real Sociedad de Fútbol,real sociedad futbol,Sociedad,sociedad,0.94,ok
Sevilla FC,sevilla,Sevilla,sevilla,1.0,ok
Valencia CF,valencia,Valencia,valencia,1.0,ok
