generated_at,competition,fixture_id,utcDate_fixture,matchday_fixture,rank,source,kind,utcDate_prev,matchday_prev,home_prev,away_prev,score_fulltime_prev,target_side_in_prev,target_team,target_pos_then,opponent,opponent_pos_then,target_gfpg_then,target_gapg_then,opponent_gfpg_then,opponent_gapg_then,delta_total,delta_total_val,match_id_prev,date_prev,fd_source_file,fd_schema_hint,mapped_home,mapped_away,teammap_home_score,teammap_away_score,teammap_home_risk,teammap_away_risk,fd_found,fd_reason,fd_FTHG,fd_FTAG,fd_FTR,fd_HTHG,fd_HTAG,fd_HTR,fd_HS,fd_AS,fd_HST,fd_AST,fd_HF,fd_AF,fd_HC,fd_AC,fd_HY,fd_AY,fd_HR,fd_AR,fd_Date,fd_Home,fd_Away
2026-02-02 02:41:52,PL,538033,2026-02-07T17:30:00Z,25,1,Away Similar,away,2025-11-22T15:00:00Z,12,Brighton & Hove Albion FC,Brentford FC,2-1,FORA,Brentford FC,12,Brighton & Hove Albion FC,11,1.545,1.545,1.545,1.364,0.439,0.4393939393939394,537896,2025-11-22,E0.csv,data.co.uk classic (HomeTeam/AwayTeam),brighton,brentford,0.9333,1.0,ok,ok,True,exact match (mapped names),2,1,H,0,1,A,14,10,5,4,10,9,7,4,4,2,0,0,2025-11-22,Brighton,Brentford
2026-02-02 02:41:52,PL,538033,2026-02-07T17:30:00Z,25,2,Away Similar,away,2025-12-06T15:00:00Z,15,Tottenham Hotspur FC,Brentford FC,2-0,FORA,Brentford FC,13,Tottenham Hotspur FC,11,1.5,1.571,1.643,1.286,0.595,0.5952380952380951,537933,2025-12-06,E0.csv,data.co.uk classic (HomeTeam/AwayTeam),tottenham,brentford,0.9529,1.0,ok,ok,True,exact match (mapped names),2,0,H,2,0,H,15,4,7,1,8,9,7,6,3,4,0,0,2025-12-06,Tottenham,Brentford
2026-02-02 02:41:52,PL,538033,2026-02-07T17:30:00Z,25,3,Away Similar,away,2026-01-17T15:00:00Z,22,Chelsea FC,Brentford FC,2-0,FORA,Brentford FC,5,Chelsea FC,8,1.667,1.333,1.619,1.143,0.643,0.642857142857143,537998,2026-01-17,E0.csv,data.co.uk classic (HomeTeam/AwayTeam),chelsea,brentford,1.0,1.0,ok,ok,True,exact match (mapped names),2,0,H,1,0,H,6,15,2,5,7,10,3,9,3,2,0,0,2026-01-17,Chelsea,Brentford
2026-02-02 02:41:52,PL,538033,2026-02-07T17:30:00Z,25,4,Home Similar,home,2026-01-04T15:00:00Z,20,Newcastle United FC,Crystal Palace FC,2-0,CASA,Newcastle United FC,13,Crystal Palace FC,10,1.368,1.263,1.158,1.105,0.689,0.68859649122807,537982,2026-01-04,E0.csv,data.co.uk classic (HomeTeam/AwayTeam),newcastle,crystal palace,0.9563,1.0,ok,ok,True,exact match (mapped names),2,0,H,0,0,D,12,11,7,1,5,12,8,6,1,3,0,0,2026-01-04,Newcastle,Crystal Palace
2026-02-02 02:41:52,PL,538033,2026-02-07T17:30:00Z,25,5,Away Similar,away,2025-11-01T15:00:00Z,10,Crystal Palace FC,Brentford FC,2-0,FORA,Brentford FC,11,Crystal Palace FC,10,1.556,1.556,1.333,1.0,0.694,0.6944444444444446,537877,2025-11-01,E0.csv,data.co.uk classic (HomeTeam/AwayTeam),crystal palace,brentford,1.0,1.0,ok,ok,True,exact match (mapped names),2,0,H,1,0,H,9,6,2,2,7,11,6,5,0,3,0,0,2025-11-01,Crystal Palace,Brentford
2026-02-02 02:41:52,PL,538033,2026-02-07T17:30:00Z,25,6,Away Similar,away,2026-01-04T15:00:00Z,20,Everton FC,Brentford FC,2-4,FORA,Brentford FC,9,Everton FC,8,1.474,1.368,1.053,1.053,0.706,0.7061403508771933,537978,2026-01-04,E0.csv,data.co.uk classic (HomeTeam/AwayTeam),everton,brentford,1.0,1.0,ok,ok,True,exact match (mapped names),2,4,A,0,1,A,14,11,6,7,9,8,4,5,0,2,0,0,2026-01-04,Everton,Brentford
2026-02-02 02:41:52,PL,538033,2026-02-07T17:30:00Z,25,7,Home Similar,home,2025-12-20T12:30:00Z,17,Newcastle United FC,Chelsea FC,2-2,CASA,Newcastle United FC,12,Chelsea FC,4,1.312,1.25,1.688,0.938,0.771,0.7708333333333333,537952,2025-12-20,E0.csv,data.co.uk classic (HomeTeam/AwayTeam),newcastle,chelsea,0.9563,1.0,ok,ok,True,exact match (mapped names),2,2,D,2,0,H,11,13,5,4,13,14,6,4,3,6,0,0,2025-12-20,Newcastle,Chelsea
2026-02-02 02:41:52,PL,538033,2026-02-07T17:30:00Z,25,8,Away Similar,away,2025-08-30T14:00:00Z,3,Sunderland AFC,Brentford FC,2-1,FORA,Brentford FC,10,Sunderland AFC,7,1.0,1.5,1.5,1.0,1.167,1.1666666666666667,537805,2025-08-30,E0.csv,data.co.uk classic (HomeTeam/AwayTeam),sunderland,brentford,1.0,1.0,ok,ok,True,exact match (mapped names),2,1,H,0,0,D,12,7,3,4,11,12,3,4,3,2,0,0,2025-08-30,Sunderland,Brentford
2026-02-02 02:41:52,PL,538033,2026-02-07T17:30:00Z,25,9,Away Similar,away,2025-09-20T19:00:00Z,5,Fulham FC,Brentford FC,3-1,FORA,Brentford FC,12,Fulham FC,11,1.25,1.75,0.75,1.0,1.667,1.6666666666666667,537830,2025-09-20,E0.csv,data.co.uk classic (HomeTeam/AwayTeam),fulham,brentford,1.0,1.0,ok,ok,True,exact match (mapped names),3,1,H,2,1,H,14,8,3,3,11,13,2,10,4,1,0,0,2025-09-20,Fulham,Brentford
2026-02-02 02:41:52,PL,538033,2026-02-07T17:30:00Z,25,10,Home Similar,home,2025-08-25T19:00:00Z,2,Newcastle United FC,Liverpool FC,2-3,CASA,Newcastle United FC,13,Liverpool FC,4,0.0,0.0,4.0,2.0,5.917,5.916666666666667,537803,2025-08-25,E0.csv,data.co.uk classic (HomeTeam/AwayTeam),newcastle,liverpool,0.9563,1.0,ok,ok,True,exact match (mapped names),2,3,A,0,1,A,10,5,3,4,17,15,7,1,2,3,1,0,2025-08-25,Newcastle,Liverpool
