api_name,api_canon,best_fd_name,best_fd_canon,score,accepted,risk
AFC Bournemouth,bournemouth,Bournemouth,bournemouth,1.0,True,ok
Aston Villa FC,aston villa,Aston Villa,aston villa,1.0,True,ok
Brentford FC,brentford,Brentford,brentford,1.0,True,ok
Brighton & Hove Albion FC,brighton and hove albion,Brighton,brighton,0.9333,True,ok
Chelsea FC,chelsea,Chelsea,chelsea,1.0,True,ok
Everton FC,everton,Everton,everton,1.0,True,ok
Leeds United FC,leeds united,Leeds,leeds,0.9417,True,ok
Liverpool FC,liverpool,Liverpool,liverpool,1.0,True,ok
Manchester United FC,manchester united,Man United,man united,0.7407,True,ok
Newcastle United FC,newcastle united,Newcastle,newcastle,0.9563,True,ok
Sunderland AFC,sunderland,Sunderland,sunderland,1.0,True,ok
Tottenham Hotspur FC,tottenham hotspur,Tottenham,tottenham,0.9529,True,ok
