generated_at,competition,fixture_id,utcDate_fixture,matchday_fixture,rank,source,kind,utcDate_prev,matchday_prev,home_prev,away_prev,score_fulltime_prev,target_side_in_prev,target_team,target_pos_then,opponent,opponent_pos_then,target_gfpg_then,target_gapg_then,opponent_gfpg_then,opponent_gapg_then,delta_total,delta_total_val,match_id_prev,date_prev,fd_source_file,fd_schema_hint,mapped_home,mapped_away,teammap_home_score,teammap_away_score,teammap_home_risk,teammap_away_risk,fd_found,fd_reason,fd_FTHG,fd_FTAG,fd_FTR,fd_HTHG,fd_HTAG,fd_HTR,fd_HS,fd_AS,fd_HST,fd_AST,fd_HF,fd_AF,fd_HC,fd_AC,fd_HY,fd_AY,fd_HR,fd_AR,fd_Date,fd_Home,fd_Away
2026-02-02 02:41:52,PL,538043,2026-02-10T19:30:00Z,26,1,Home Similar,home,2025-12-20T17:30:00Z,17,Tottenham Hotspur FC,Liverpool FC,1-2,CASA,Tottenham Hotspur FC,11,Liverpool FC,7,1.562,1.312,1.625,1.5,0.542,0.5416666666666667,537953,2025-12-20,E0.csv,data.co.uk classic (HomeTeam/AwayTeam),tottenham,liverpool,0.9529,1.0,ok,ok,True,exact match (mapped names),1,2,A,0,0,D,15,8,4,4,9,7,2,6,3,3,2,0,2025-12-20,Tottenham,Liverpool
2026-02-02 02:41:52,PL,538043,2026-02-10T19:30:00Z,26,2,Home Similar,home,2025-12-06T15:00:00Z,15,Tottenham Hotspur FC,Brentford FC,2-0,CASA,Tottenham Hotspur FC,11,Brentford FC,13,1.643,1.286,1.5,1.571,0.595,0.5952380952380951,537933,2025-12-06,E0.csv,data.co.uk classic (HomeTeam/AwayTeam),tottenham,brentford,0.9529,1.0,ok,ok,True,exact match (mapped names),2,0,H,2,0,H,15,4,7,1,8,9,7,6,3,4,0,0,2025-12-06,Tottenham,Brentford
2026-02-02 02:41:52,PL,538043,2026-02-10T19:30:00Z,26,3,Away Similar,away,2025-11-09T14:00:00Z,11,Brentford FC,Newcastle United FC,3-1,FORA,Newcastle United FC,13,Brentford FC,12,1.0,1.1,1.4,1.6,0.933,0.9333333333333332,537888,2025-11-09,E0.csv,data.co.uk classic (HomeTeam/AwayTeam),brentford,newcastle,1.0,0.9563,ok,ok,True,exact match (mapped names),3,1,H,0,1,A,15,5,7,1,10,13,6,2,2,1,0,0,2025-11-09,Brentford,Newcastle
2026-02-02 02:41:52,PL,538043,2026-02-10T19:30:00Z,26,4,Home Similar,home,2026-01-04T15:00:00Z,20,Tottenham Hotspur FC,Sunderland AFC,1-1,CASA,Tottenham Hotspur FC,12,Sunderland AFC,7,1.421,1.211,1.053,0.947,0.952,0.9517543859649124,537983,2026-01-04,E0.csv,data.co.uk classic (HomeTeam/AwayTeam),tottenham,sunderland,0.9529,1.0,ok,ok,True,exact match (mapped names),1,1,D,1,0,H,13,10,5,3,10,6,3,5,2,3,0,0,2026-01-04,Tottenham,Sunderland
2026-02-02 02:41:52,PL,538043,2026-02-10T19:30:00Z,26,5,Away Similar,away,2025-11-29T17:30:00Z,13,Everton FC,Newcastle United FC,1-4,FORA,Newcastle United FC,14,Everton FC,11,1.083,1.25,1.083,1.083,1.083,1.0833333333333337,537910,2025-11-29,E0.csv,data.co.uk classic (HomeTeam/AwayTeam),everton,newcastle,1.0,0.9563,ok,ok,True,exact match (mapped names),1,4,A,0,3,A,10,13,2,8,4,6,8,7,0,0,0,0,2025-11-29,Everton,Newcastle
2026-02-02 02:41:52,PL,538043,2026-02-10T19:30:00Z,26,6,Away Similar,away,2025-10-18T14:00:00Z,8,Brighton & Hove Albion FC,Newcastle United FC,2-1,FORA,Newcastle United FC,11,Brighton & Hove Albion FC,12,0.857,0.714,1.429,1.429,1.262,1.261904761904762,537856,2025-10-18,E0.csv,data.co.uk classic (HomeTeam/AwayTeam),brighton,newcastle,0.9333,0.9563,ok,ok,True,exact match (mapped names),2,1,H,1,0,H,13,16,5,3,9,9,8,4,0,1,0,0,2025-10-18,Brighton,Newcastle
2026-02-02 02:41:52,PL,538043,2026-02-10T19:30:00Z,26,7,Home Similar,home,2025-11-08T12:30:00Z,11,Tottenham Hotspur FC,Manchester United FC,2-2,CASA,Tottenham Hotspur FC,6,Manchester United FC,8,1.7,0.8,1.7,1.6,1.367,1.3666666666666667,537893,2025-11-08,E0.csv,data.co.uk classic (HomeTeam/AwayTeam),tottenham,man united,0.9529,0.7407,ok,ok,True,exact match (mapped names),2,2,D,0,1,A,10,5,4,2,10,8,5,3,5,1,0,0,2025-11-08,Tottenham,Man United
2026-02-02 02:41:52,PL,538043,2026-02-10T19:30:00Z,26,8,Home Similar,home,2025-11-01T17:30:00Z,10,Tottenham Hotspur FC,Chelsea FC,0-1,CASA,Tottenham Hotspur FC,3,Chelsea FC,9,1.889,0.778,1.889,1.222,1.694,1.6944444444444442,537883,2025-11-01,E0.csv,data.co.uk classic (HomeTeam/AwayTeam),tottenham,chelsea,0.9529,1.0,ok,ok,True,exact match (mapped names),0,1,A,0,1,A,3,15,1,9,14,12,6,5,4,2,0,0,2025-11-01,Tottenham,Chelsea
2026-02-02 02:41:52,PL,538043,2026-02-10T19:30:00Z,26,9,Home Similar,home,2025-10-19T13:00:00Z,8,Tottenham Hotspur FC,Aston Villa FC,1-2,CASA,Tottenham Hotspur FC,3,Aston Villa FC,13,1.857,0.714,0.857,1.0,1.952,1.9523809523809528,537863,2025-10-19,E0.csv,data.co.uk classic (HomeTeam/AwayTeam),tottenham,aston villa,0.9529,1.0,ok,ok,True,exact match (mapped names),1,2,A,1,1,D,9,8,3,2,11,7,6,6,2,0,0,0,2025-10-19,Tottenham,Aston Villa
2026-02-02 02:41:52,PL,538043,2026-02-10T19:30:00Z,26,10,Away Similar,away,2025-08-30T16:30:00Z,3,Leeds United FC,Newcastle United FC,0-0,FORA,Newcastle United FC,15,Leeds United FC,12,1.0,1.5,0.5,2.5,2.583,2.583333333333333,537810,2025-08-30,E0.csv,data.co.uk classic (HomeTeam/AwayTeam),leeds,newcastle,0.9417,0.9563,ok,ok,True,exact match (mapped names),0,0,D,0,0,D,10,8,1,2,10,15,5,5,1,1,0,0,2025-08-30,Leeds,Newcastle
