api_name,api_canon,best_fd_name,best_fd_canon,score,risk
AFC Bournemouth,bournemouth,Bournemouth,bournemouth,1.0,ok
Arsenal FC,arsenal,Arsenal,arsenal,1.0,ok
Brighton & Hove Albion FC,brighton and hove albion,Brighton,brighton,0.9333,ok
Chelsea FC,chelsea,Chelsea,chelsea,1.0,ok
Fulham FC,fulham,Fulham,fulham,1.0,ok
Leeds United FC,leeds united,Leeds,leeds,0.9417,ok
Liverpool FC,liverpool,Liverpool,liverpool,1.0,ok
Manchester City FC,manchester city,Man City,man city,0.6957,ok
Sunderland AFC,sunderland,Sunderland,sunderland,1.0,ok
West Ham United FC,west ham united,West Ham,west ham,0.9533,ok
