api_name,api_canon,best_fd_name,best_fd_canon,score,risk
Arsenal FC,arsenal,Arsenal,arsenal,1.0,ok
Aston Villa FC,aston villa,Aston Villa,aston villa,1.0,ok
Brighton & Hove Albion FC,brighton and hove albion,Brighton,brighton,0.9333,ok
Burnley FC,burnley,Burnley,burnley,1.0,ok
Chelsea FC,chelsea,Chelsea,chelsea,1.0,ok
Crystal Palace FC,crystal palace,Crystal Palace,crystal palace,1.0,ok
Everton FC,everton,Everton,everton,1.0,ok
Leeds United FC,leeds united,Leeds,leeds,0.9417,ok
Liverpool FC,liverpool,Liverpool,liverpool,1.0,ok
Manchester City FC,manchester city,Man City,man city,0.6957,ok
Nottingham Forest FC,nottingham forest,Nott'm Forest,nott m forest,0.8,ok
Sunderland AFC,sunderland,Sunderland,sunderland,1.0,ok
