api_name,api_canon,best_fd_name,best_fd_canon,score,risk
AFC Bournemouth,bournemouth,Bournemouth,bournemouth,1.0,ok
Brentford FC,brentford,Brentford,brentford,1.0,ok
Brighton & Hove Albion FC,brighton and hove albion,Brighton,brighton,0.9333,ok
Chelsea FC,chelsea,Chelsea,chelsea,1.0,ok
Crystal Palace FC,crystal palace,Crystal Palace,crystal palace,1.0,ok
Leeds United FC,leeds united,Leeds,leeds,0.9417,ok
Liverpool FC,liverpool,Liverpool,liverpool,1.0,ok
Manchester United FC,manchester united,Man United,man united,0.7407,ok
Newcastle United FC,newcastle united,Newcastle,newcastle,0.9563,ok
Nottingham Forest FC,nottingham forest,Nott'm Forest,nott m forest,0.8,ok
Tottenham Hotspur FC,tottenham hotspur,Tottenham,tottenham,0.9529,ok
