generated_at,league_key,competition,fixture_id,utcDate_fixture,date_fixture,matchday_fixture,rank,kind,utcDate_prev,matchday_prev,home_prev,away_prev,score_fulltime_prev,target_team,target_side_in_prev,target_pos_then,opponent,opponent_pos_then,target_gfpg_then,target_gapg_then,opponent_gfpg_then,opponent_gapg_then,delta_total,delta_total_val,match_id_prev,fd_source_file,fd_schema_hint,date_prev,mapped_home,mapped_away,teammap_home_score,teammap_away_score,teammap_home_risk,teammap_away_risk,fd_found,fd_FTHG,fd_FTAG,fd_FTR,fd_HTHG,fd_HTAG,fd_HTR,fd_HS,fd_AS,fd_HST,fd_AST,fd_HF,fd_AF,fd_HC,fd_AC,fd_HY,fd_AY,fd_HR,fd_AR
2026-02-15 15:40:35,PL,PL,538048,2026-02-21T15:00:00Z,2026-02-21,27,1,home,2026-01-01T20:00:00Z,19,Brentford FC,Tottenham Hotspur FC,0-0,Brentford FC,HOME,8,Tottenham Hotspur FC,11,1.556,1.444,1.5,1.278,0.338,0.3376068376068375,537968,E0.csv,data.co.uk classic (HomeTeam/AwayTeam),2026-01-01,brentford,tottenham,1.0,0.9529,ok,ok,True,0,0,D,0,0,D,7,9,2,3,8,10,3,1,1,2,0,0
2026-02-15 15:40:35,PL,PL,538048,2026-02-21T15:00:00Z,2026-02-21,27,2,away,2025-09-13T14:00:00Z,4,AFC Bournemouth,Brighton & Hove Albion FC,2-1,Brighton & Hove Albion FC,AWAY,11,AFC Bournemouth,7,1.0,1.333,1.333,1.333,0.551,0.5512820512820515,537815,E0.csv,data.co.uk classic (HomeTeam/AwayTeam),2025-09-13,bournemouth,brighton,1.0,0.9333,ok,ok,True,2,1,H,1,0,H,13,6,5,2,16,10,4,4,4,4,0,0
2026-02-15 15:40:35,PL,PL,538048,2026-02-21T15:00:00Z,2026-02-21,27,3,away,2025-10-25T16:30:00Z,9,Manchester United FC,Brighton & Hove Albion FC,4-2,Brighton & Hove Albion FC,AWAY,10,Manchester United FC,9,1.5,1.375,1.375,1.5,0.577,0.5769230769230769,537872,E0.csv,data.co.uk classic (HomeTeam/AwayTeam),2025-10-25,man united,brighton,0.7407,0.9333,ok,ok,True,4,2,H,2,0,H,13,17,9,5,4,13,1,6,2,2,0,0
2026-02-15 15:40:35,PL,PL,538048,2026-02-21T15:00:00Z,2026-02-21,27,4,home,2026-01-25T14:00:00Z,23,Brentford FC,Nottingham Forest FC,0-2,Brentford FC,HOME,7,Nottingham Forest FC,17,1.591,1.364,0.955,1.545,0.661,0.6608391608391604,538008,E0.csv,data.co.uk classic (HomeTeam/AwayTeam),2026-01-25,brentford,nott m forest,1.0,0.8,ok,ok,True,0,2,A,0,1,A,10,7,1,2,11,10,6,5,1,0,0,0
2026-02-15 15:40:35,PL,PL,538048,2026-02-21T15:00:00Z,2026-02-21,27,5,away,2025-12-13T15:00:00Z,16,Liverpool FC,Brighton & Hove Albion FC,2-0,Brighton & Hove Albion FC,AWAY,8,Liverpool FC,10,1.667,1.4,1.6,1.6,0.767,0.7666666666666666,537941,E0.csv,data.co.uk classic (HomeTeam/AwayTeam),2025-12-13,liverpool,brighton,1.0,0.9333,ok,ok,True,2,0,H,1,0,H,18,14,4,1,8,15,2,2,1,2,0,0
2026-02-15 15:40:35,PL,PL,538048,2026-02-21T15:00:00Z,2026-02-21,27,6,home,2025-12-27T15:00:00Z,18,Brentford FC,AFC Bournemouth,4-1,Brentford FC,HOME,12,AFC Bournemouth,15,1.412,1.471,1.529,1.706,0.871,0.8710407239819002,537958,E0.csv,data.co.uk classic (HomeTeam/AwayTeam),2025-12-27,brentford,bournemouth,1.0,1.0,ok,ok,True,4,1,H,2,0,H,15,20,7,10,9,8,2,15,2,2,0,0
2026-02-15 15:40:35,PL,PL,538048,2026-02-21T15:00:00Z,2026-02-21,27,7,home,2025-11-09T14:00:00Z,11,Brentford FC,Newcastle United FC,3-1,Brentford FC,HOME,12,Newcastle United FC,13,1.4,1.6,1.0,1.1,0.908,0.9076923076923078,537888,E0.csv,data.co.uk classic (HomeTeam/AwayTeam),2025-11-09,brentford,newcastle,1.0,0.9563,ok,ok,True,3,1,H,0,1,A,15,5,7,1,10,13,6,2,2,1,0,0
2026-02-15 15:40:35,PL,PL,538048,2026-02-21T15:00:00Z,2026-02-21,27,8,home,2025-12-14T16:30:00Z,16,Brentford FC,Leeds United FC,1-1,Brentford FC,HOME,14,Leeds United FC,16,1.4,1.6,1.267,1.933,1.059,1.0589743589743592,537938,E0.csv,data.co.uk classic (HomeTeam/AwayTeam),2025-12-14,brentford,leeds,1.0,0.9417,ok,ok,True,1,1,D,0,0,D,7,18,2,4,8,9,0,3,0,0,0,0
2026-02-15 15:40:35,PL,PL,538048,2026-02-21T15:00:00Z,2026-02-21,27,9,away,2025-11-09T14:00:00Z,11,Crystal Palace FC,Brighton & Hove Albion FC,0-0,Brighton & Hove Albion FC,AWAY,10,Crystal Palace FC,9,1.7,1.5,1.4,0.9,1.169,1.1692307692307695,537887,E0.csv,data.co.uk classic (HomeTeam/AwayTeam),2025-11-09,crystal palace,brighton,1.0,0.9333,ok,ok,True,0,0,D,0,0,D,10,7,2,3,10,12,4,8,1,4,0,0
2026-02-15 15:40:35,PL,PL,538048,2026-02-21T15:00:00Z,2026-02-21,27,10,away,2025-09-27T14:00:00Z,6,Chelsea FC,Brighton & Hove Albion FC,1-3,Brighton & Hove Albion FC,AWAY,14,Chelsea FC,6,1.2,1.6,2.0,1.0,1.208,1.2076923076923078,537838,E0.csv,data.co.uk classic (HomeTeam/AwayTeam),2025-09-27,chelsea,brighton,1.0,0.9333,ok,ok,True,1,3,A,1,0,H,13,12,3,3,9,16,5,7,3,5,1,0
