api_name,api_canon,best_fd_name,best_fd_canon,score,risk
AFC Bournemouth,bournemouth,Bournemouth,bournemouth,1.0,ok
Brighton & Hove Albion FC,brighton and hove albion,Brighton,brighton,0.9333,ok
Burnley FC,burnley,Burnley,burnley,1.0,ok
Chelsea FC,chelsea,Chelsea,chelsea,1.0,ok
Leeds United FC,leeds united,Leeds,leeds,0.9417,ok
Liverpool FC,liverpool,Liverpool,liverpool,1.0,ok
Manchester United FC,manchester united,Man United,man united,0.7407,ok
Nottingham Forest FC,nottingham forest,Nott'm Forest,nott m forest,0.8,ok
Sunderland AFC,sunderland,Sunderland,sunderland,1.0,ok
West Ham United FC,west ham united,West Ham,west ham,0.9533,ok
