api_name,api_canon,best_fd_name,best_fd_canon,score,accepted,risk
CD Tondela,cd tondela,Tondela,tondela,0.97,True,ok
CF Estrela da Amadora,estrela amadora,Estrela,estrela,0.9467,True,ok
Casa Pia AC,casa pia,Casa Pia,casa pia,1.0,True,ok
FC Alverca,alverca,Alverca,alverca,1.0,True,ok
FC Arouca,arouca,Arouca,arouca,1.0,True,ok
FC Famalicão,famalicao,Famalicao,famalicao,1.0,True,ok
Moreirense FC,moreirense,Moreirense,moreirense,1.0,True,ok
Rio Ave FC,rio ave,Rio Ave,rio ave,1.0,True,ok
Sporting Clube de Braga,sporting braga,Sp Braga,sp braga,0.7273,True,ok
Vitória SC,vitoria,Estoril,estoril,0.5714,True,ok
