api_name,api_canon,best_fd_name,best_fd_canon,score,risk
AVS,avs,AVS,avs,1.0,ok
CD Nacional,cd nacional,Nacional,nacional,0.9727,ok
CD Santa Clara,cd santa clara,Santa Clara,santa clara,0.9786,ok
CD Tondela,cd tondela,Tondela,tondela,0.97,ok
CF Estrela da Amadora,estrela amadora,Estrela,estrela,0.9467,ok
Casa Pia AC,casa pia,Casa Pia,casa pia,1.0,ok
FC Alverca,alverca,Alverca,alverca,1.0,ok
FC Arouca,arouca,Arouca,arouca,1.0,ok
GD Estoril Praia,gd estoril praia,Estoril,estoril,0.9437,ok
Rio Ave FC,rio ave,Rio Ave,rio ave,1.0,ok
