api_name,api_canon,best_fd_name,best_fd_canon,score,risk
CD Nacional,cd nacional,Nacional,nacional,0.9727,ok
CD Santa Clara,cd santa clara,Santa Clara,santa clara,0.9786,ok
CD Tondela,cd tondela,Tondela,tondela,0.97,ok
Casa Pia AC,casa pia,Casa Pia,casa pia,1.0,ok
FC Arouca,arouca,Arouca,arouca,1.0,ok
FC Porto,porto,Porto,porto,1.0,ok
Moreirense FC,moreirense,Moreirense,moreirense,1.0,ok
Rio Ave FC,rio ave,Rio Ave,rio ave,1.0,ok
Sport Lisboa e Benfica,sport lisboa e benfica,Benfica,benfica,0.9318,ok
Sporting Clube de Portugal,sporting portugal,Porto,porto,0.4545,low_score
