api_name,api_canon,best_fd_name,best_fd_canon,score,accepted
AC Milan,milan,Milan,milan,1.0,True
AS Roma,as roma,Roma,roma,0.9357,True
Atalanta BC,atalanta bc,Atalanta,atalanta,0.9591,True
Bologna FC 1909,bologna 1909,Bologna,bologna,0.9375,True
FC Internazionale Milano,internazionale milano,Inter,inter,0.8857,True
SS Lazio,ss lazio,Lazio,lazio,0.9437,True
SSC Napoli,ssc napoli,Napoli,napoli,0.94,True
Torino FC,torino,Torino,torino,1.0,True
US Cremonese,us cremonese,Cremonese,cremonese,0.9625,True
US Sassuolo Calcio,us sassuolo calcio,Sassuolo,sassuolo,0.9167,True
Udinese Calcio,udinese calcio,Udinese,udinese,0.925,True
