api_name,api_canon,best_fd_name,best_fd_canon,score,accepted,risk
AC Milan,milan,Milan,milan,1.0,True,ok
AS Roma,as roma,Roma,roma,0.9571,True,ok
Atalanta BC,atalanta bc,Atalanta,atalanta,0.9727,True,ok
Bologna FC 1909,bologna 1909,Bologna,bologna,0.9583,True,ok
SS Lazio,ss lazio,Lazio,lazio,0.9625,True,ok
SSC Napoli,ssc napoli,Napoli,napoli,0.96,True,ok
Torino FC,torino,Torino,torino,1.0,True,ok
US Cremonese,us cremonese,Cremonese,cremonese,0.975,True,ok
US Sassuolo Calcio,us sassuolo calcio,Sassuolo,sassuolo,0.9444,True,ok
Udinese Calcio,udinese calcio,Udinese,udinese,0.95,True,ok
