api_name,api_canon,best_fd_name,best_fd_canon,score,accepted,risk
Atalanta BC,atalanta bc,Atalanta,atalanta,0.9727,True,ok
Bologna FC 1909,bologna 1909,Bologna,bologna,0.9583,True,ok
Cagliari Calcio,cagliari calcio,Cagliari,cagliari,0.9533,True,ok
Como 1907,como 1907,Como,como,0.9444,True,ok
FC Internazionale Milano,internazionale milano,Inter,inter,0.9238,True,ok
Juventus FC,juventus,Juventus,juventus,1.0,True,ok
Parma Calcio 1913,parma calcio 1913,Parma,parma,0.9294,True,ok
SS Lazio,ss lazio,Lazio,lazio,0.9625,True,ok
Torino FC,torino,Torino,torino,1.0,True,ok
US Cremonese,us cremonese,Cremonese,cremonese,0.975,True,ok
US Lecce,us lecce,Lecce,lecce,0.9625,True,ok
US Sassuolo Calcio,us sassuolo calcio,Sassuolo,sassuolo,0.9444,True,ok
