api_name,api_canon,best_fd_name,best_fd_canon,score,risk
ACF Fiorentina,acf fiorentina,Fiorentina,fiorentina,0.9714,ok
Bologna FC 1909,bologna 1909,Bologna,bologna,0.9583,ok
Cagliari Calcio,cagliari calcio,Cagliari,cagliari,0.9533,ok
Como 1907,como 1907,Como,como,0.9444,ok
Hellas Verona FC,hellas verona,Verona,verona,0.9462,ok
Parma Calcio 1913,parma calcio 1913,Parma,parma,0.9294,ok
SS Lazio,ss lazio,Lazio,lazio,0.9625,ok
Torino FC,torino,Torino,torino,1.0,ok
US Lecce,us lecce,Lecce,lecce,0.9625,ok
US Sassuolo Calcio,us sassuolo calcio,Sassuolo,sassuolo,0.9444,ok
Udinese Calcio,udinese calcio,Udinese,udinese,0.95,ok
