generated_at,league_key,competition,fixture_id,utcDate_fixture,date_fixture,matchday_fixture,rank,kind,utcDate_prev,matchday_prev,home_prev,away_prev,score_fulltime_prev,target_team,target_side_in_prev,target_pos_then,opponent,opponent_pos_then,target_gfpg_then,target_gapg_then,opponent_gfpg_then,opponent_gapg_then,delta_total,delta_total_val,match_id_prev,fd_source_file,fd_schema_hint,date_prev,mapped_home,mapped_away,teammap_home_score,teammap_away_score,teammap_home_risk,teammap_away_risk,fd_found,fd_FTHG,fd_FTAG,fd_FTR,fd_HTHG,fd_HTAG,fd_HTR,fd_HS,fd_AS,fd_HST,fd_AST,fd_HF,fd_AF,fd_HC,fd_AC,fd_HY,fd_AY,fd_HR,fd_AR
2026-02-04 03:16:36,SA,SA,537054,2026-02-08T14:00:00Z,2026-02-08,24,1,away,2025-11-29T14:00:00Z,13,Parma Calcio 1913,Udinese Calcio,0-2,Udinese Calcio,AWAY,10,Parma Calcio 1913,15,1.0,1.667,0.75,1.25,0.558,0.5579710144927538,536942,I1.csv,data.co.uk classic (HomeTeam/AwayTeam),2025-11-29,parma,udinese,0.9294,0.95,ok,ok,True,0,2,A,0,1,A,17,14,2,5,6,19,5,9,1,2,1,1
2026-02-04 03:16:36,SA,SA,537054,2026-02-08T14:00:00Z,2026-02-08,24,2,home,2025-11-30T11:30:00Z,13,US Lecce,Torino FC,2-1,US Lecce,HOME,17,Torino FC,12,0.667,1.333,0.917,1.75,0.616,0.6159420289855072,536944,I1.csv,data.co.uk classic (HomeTeam/AwayTeam),2025-11-30,lecce,torino,0.9625,1.0,ok,ok,True,2,1,H,2,0,H,10,15,2,6,16,22,6,6,2,3,0,0
2026-02-04 03:16:36,SA,SA,537054,2026-02-08T14:00:00Z,2026-02-08,24,3,away,2026-01-26T19:45:00Z,22,Hellas Verona FC,Udinese Calcio,1-3,Udinese Calcio,AWAY,10,Hellas Verona FC,20,1.048,1.571,0.81,1.619,0.735,0.7349896480331263,537030,I1.csv,data.co.uk classic (HomeTeam/AwayTeam),2026-01-26,verona,udinese,0.9462,0.95,ok,ok,True,1,3,A,1,1,D,7,20,4,7,8,11,3,8,2,0,0,0
2026-02-04 03:16:36,SA,SA,537054,2026-02-08T14:00:00Z,2026-02-08,24,4,away,2025-12-21T17:00:00Z,16,ACF Fiorentina,Udinese Calcio,5-1,Udinese Calcio,AWAY,10,ACF Fiorentina,20,1.067,1.467,0.8,1.733,0.739,0.7391304347826088,536965,I1.csv,data.co.uk classic (HomeTeam/AwayTeam),2025-12-21,fiorentina,udinese,0.9714,0.95,ok,ok,True,5,1,H,3,0,H,20,11,7,4,10,8,1,4,3,1,0,1
2026-02-04 03:16:36,SA,SA,537054,2026-02-08T14:00:00Z,2026-02-08,24,5,home,2026-01-24T19:45:00Z,22,US Lecce,SS Lazio,0-0,US Lecce,HOME,18,SS Lazio,9,0.619,1.381,1.0,0.905,0.834,0.8343685300207038,537034,I1.csv,data.co.uk classic (HomeTeam/AwayTeam),2026-01-24,lecce,lazio,0.9625,0.9625,ok,ok,True,0,0,D,0,0,D,15,6,2,1,16,6,4,1,2,1,0,0
2026-02-04 03:16:36,SA,SA,537054,2026-02-08T14:00:00Z,2026-02-08,24,6,home,2025-12-27T14:00:00Z,17,US Lecce,Como 1907,0-3,US Lecce,HOME,14,Como 1907,7,0.688,1.25,1.25,0.938,0.837,0.8369565217391305,536984,I1.csv,data.co.uk classic (HomeTeam/AwayTeam),2025-12-27,lecce,como,0.9625,0.9444,ok,ok,True,0,3,A,0,1,A,11,12,5,6,10,23,4,6,2,4,0,0
2026-02-04 03:16:36,SA,SA,537054,2026-02-08T14:00:00Z,2026-02-08,24,7,home,2025-10-18T13:00:00Z,7,US Lecce,US Sassuolo Calcio,0-0,US Lecce,HOME,15,US Sassuolo Calcio,9,0.833,1.667,1.333,1.333,0.978,0.9782608695652176,536884,I1.csv,data.co.uk classic (HomeTeam/AwayTeam),2025-10-18,lecce,sassuolo,0.9625,0.9444,ok,ok,True,0,0,D,0,0,D,11,9,2,2,16,14,6,4,2,2,0,0
2026-02-04 03:16:36,SA,SA,537054,2026-02-08T14:00:00Z,2026-02-08,24,8,away,2025-09-28T10:30:00Z,5,US Sassuolo Calcio,Udinese Calcio,3-1,Udinese Calcio,AWAY,9,US Sassuolo Calcio,14,1.0,1.25,1.0,1.75,1.239,1.2391304347826084,536863,I1.csv,data.co.uk classic (HomeTeam/AwayTeam),2025-09-28,sassuolo,udinese,0.9444,0.95,ok,ok,True,3,1,H,2,0,H,11,12,5,5,5,22,1,5,0,3,0,0
2026-02-04 03:16:36,SA,SA,537054,2026-02-08T14:00:00Z,2026-02-08,24,9,home,2025-09-19T18:45:00Z,4,US Lecce,Cagliari Calcio,1-2,US Lecce,HOME,20,Cagliari Calcio,8,0.333,2.0,1.0,0.667,1.87,1.869565217391304,536854,I1.csv,data.co.uk classic (HomeTeam/AwayTeam),2025-09-19,lecce,cagliari,0.9625,0.9533,ok,ok,True,1,2,A,1,1,D,11,15,5,6,10,19,4,7,2,3,0,0
2026-02-04 03:16:36,SA,SA,537054,2026-02-08T14:00:00Z,2026-02-08,24,10,home,2025-09-28T16:00:00Z,5,US Lecce,Bologna FC 1909,2-2,US Lecce,HOME,20,Bologna FC 1909,11,0.5,2.0,0.75,0.75,1.87,1.869565217391304,536864,I1.csv,data.co.uk classic (HomeTeam/AwayTeam),2025-09-28,lecce,bologna,0.9625,0.9583,ok,ok,True,2,2,D,1,1,D,12,14,4,5,13,13,3,9,4,2,0,0
