generated_at,league_key,competition,fixture_id,utcDate_fixture,date_fixture,matchday_fixture,rank,kind,utcDate_prev,matchday_prev,home_prev,away_prev,score_fulltime_prev,target_team,target_side_in_prev,target_pos_then,opponent,opponent_pos_then,target_gfpg_then,target_gapg_then,opponent_gfpg_then,opponent_gapg_then,delta_total,delta_total_val,match_id_prev,fd_source_file,fd_schema_hint,date_prev,mapped_home,mapped_away,teammap_home_score,teammap_away_score,teammap_home_risk,teammap_away_risk,fd_found,fd_FTHG,fd_FTAG,fd_FTR,fd_HTHG,fd_HTAG,fd_HTR,fd_HS,fd_AS,fd_HST,fd_AST,fd_HF,fd_AF,fd_HC,fd_AC,fd_HY,fd_AY,fd_HR,fd_AR
2026-02-04 03:16:36,SA,SA,537048,2026-02-09T17:30:00Z,2026-02-09,24,1,home,2025-11-09T11:30:00Z,11,Atalanta BC,US Sassuolo Calcio,0-3,Atalanta BC,HOME,11,US Sassuolo Calcio,12,1.3,0.8,1.1,1.2,0.452,0.4521739130434783,536916,I1.csv,data.co.uk classic (HomeTeam/AwayTeam),2025-11-09,atalanta,sassuolo,0.9727,0.9444,ok,ok,True,0,3,A,0,1,A,14,8,2,4,9,8,4,1,0,2,0,0
2026-02-04 03:16:36,SA,SA,537048,2026-02-09T17:30:00Z,2026-02-09,24,2,away,2026-01-12T19:45:00Z,20,Juventus FC,US Cremonese,5-0,US Cremonese,AWAY,13,Juventus FC,4,1.053,1.211,1.421,0.842,0.465,0.4645308924485125,537012,I1.csv,data.co.uk classic (HomeTeam/AwayTeam),2026-01-12,juventus,cremonese,1.0,0.975,ok,ok,True,5,0,H,3,0,H,18,9,11,2,16,8,4,5,0,1,0,0
2026-02-04 03:16:36,SA,SA,537048,2026-02-09T17:30:00Z,2026-02-09,24,3,home,2025-12-13T19:45:00Z,15,Atalanta BC,Cagliari Calcio,2-1,Atalanta BC,HOME,12,Cagliari Calcio,13,1.214,1.214,1.0,1.357,0.575,0.5745341614906834,536958,I1.csv,data.co.uk classic (HomeTeam/AwayTeam),2025-12-13,atalanta,cagliari,0.9727,0.9533,ok,ok,True,2,1,H,1,0,H,17,8,8,1,13,15,5,4,1,2,0,0
2026-02-04 03:16:36,SA,SA,537048,2026-02-09T17:30:00Z,2026-02-09,24,4,home,2026-01-25T14:00:00Z,22,Atalanta BC,Parma Calcio 1913,4-0,Atalanta BC,HOME,7,Parma Calcio 1913,13,1.238,0.952,0.667,1.048,0.652,0.6521739130434782,537027,I1.csv,data.co.uk classic (HomeTeam/AwayTeam),2026-01-25,atalanta,parma,0.9727,0.9294,ok,ok,True,4,0,H,2,0,H,21,15,9,2,14,8,6,9,1,0,0,0
2026-02-04 03:16:36,SA,SA,537048,2026-02-09T17:30:00Z,2026-02-09,24,5,home,2026-01-10T19:45:00Z,20,Atalanta BC,Torino FC,2-0,Atalanta BC,HOME,8,Torino FC,12,1.211,1.0,1.105,1.579,0.691,0.6910755148741421,537007,I1.csv,data.co.uk classic (HomeTeam/AwayTeam),2026-01-10,atalanta,torino,0.9727,1.0,ok,ok,True,2,0,H,1,0,H,18,10,5,3,14,17,5,4,1,2,0,0
2026-02-04 03:16:36,SA,SA,537048,2026-02-09T17:30:00Z,2026-02-09,24,6,away,2025-12-20T17:00:00Z,16,SS Lazio,US Cremonese,0-0,US Cremonese,AWAY,11,SS Lazio,8,1.2,1.2,1.133,0.733,0.786,0.7855072463768117,536972,I1.csv,data.co.uk classic (HomeTeam/AwayTeam),2025-12-20,lazio,cremonese,0.9625,0.975,ok,ok,True,0,0,D,0,0,D,8,9,2,2,13,21,3,0,4,3,0,1
2026-02-04 03:16:36,SA,SA,537048,2026-02-09T17:30:00Z,2026-02-09,24,7,away,2025-12-01T19:45:00Z,13,Bologna FC 1909,US Cremonese,1-3,US Cremonese,AWAY,11,Bologna FC 1909,5,1.083,1.333,1.75,0.667,0.877,0.8768115942028986,536940,I1.csv,data.co.uk classic (HomeTeam/AwayTeam),2025-12-01,bologna,cremonese,0.9583,0.975,ok,ok,True,1,3,A,1,2,A,29,10,7,5,13,12,13,8,0,2,0,0
2026-02-04 03:16:36,SA,SA,537048,2026-02-09T17:30:00Z,2026-02-09,24,8,away,2025-09-27T13:00:00Z,5,Como 1907,US Cremonese,1-1,US Cremonese,AWAY,6,Como 1907,8,1.25,0.75,1.25,0.75,1.152,1.152173913043478,536859,I1.csv,data.co.uk classic (HomeTeam/AwayTeam),2025-09-27,como,cremonese,0.9444,0.975,ok,ok,True,1,1,D,1,0,H,14,9,6,2,16,17,4,3,3,4,1,0
2026-02-04 03:16:36,SA,SA,537048,2026-02-09T17:30:00Z,2026-02-09,24,9,home,2025-10-19T16:00:00Z,7,Atalanta BC,SS Lazio,0-0,Atalanta BC,HOME,6,SS Lazio,13,1.833,0.833,1.667,1.167,1.543,1.543478260869565,536877,I1.csv,data.co.uk classic (HomeTeam/AwayTeam),2025-10-19,atalanta,lazio,0.9727,0.9625,ok,ok,True,0,0,D,0,0,D,16,4,6,1,10,5,7,1,4,0,0,0
2026-02-04 03:16:36,SA,SA,537048,2026-02-09T17:30:00Z,2026-02-09,24,10,home,2025-09-14T13:00:00Z,3,Atalanta BC,US Lecce,4-1,Atalanta BC,HOME,11,US Lecce,17,1.0,1.0,0.0,1.0,1.652,1.6521739130434785,536838,I1.csv,data.co.uk classic (HomeTeam/AwayTeam),2025-09-14,atalanta,lecce,0.9727,0.9625,ok,ok,True,4,1,H,1,0,H,19,12,8,3,12,7,8,2,0,0,0,0
