api_name,api_canon,best_fd_name,best_fd_canon,score,risk
AC Pisa 1909,pisa 1909,Pisa,pisa,0.9444,ok
Atalanta BC,atalanta bc,Atalanta,atalanta,0.9727,ok
Cagliari Calcio,cagliari calcio,Cagliari,cagliari,0.9533,ok
Genoa CFC,genoa,Genoa,genoa,1.0,ok
Hellas Verona FC,hellas verona,Verona,verona,0.9462,ok
Parma Calcio 1913,parma calcio 1913,Parma,parma,0.9294,ok
SS Lazio,ss lazio,Lazio,lazio,0.9625,ok
US Cremonese,us cremonese,Cremonese,cremonese,0.975,ok
US Lecce,us lecce,Lecce,lecce,0.9625,ok
Udinese Calcio,udinese calcio,Udinese,udinese,0.95,ok
